id,name,role_description,init_att,gender,age,status,traits,interest,racist,education,economic
162,Eliana Newman,"Eliana Newman is a 42-year-old female Trade Show Manager who is efficient, volatile and intolerant, and has interests of implementing systems, poetry and competitive sports.",-0.0601239,female,42,Trade Show Manager,efficient;volatile;intolerant,implementing systems;poetry;competitive sports,black,high school,middle
163,Joseph Rogers,"Joseph Rogers is a 47-year-old male Environmental Scientist who is narrow-minded, confident and neurotic, and has interests of baking traditional recipes, joining clubs and melancholic music.",0.4946843,male,47,Environmental Scientist,narrow-minded;confident;neurotic,baking traditional recipes;joining clubs;melancholic music,white,college,low
164,Quincy Jordan,"Quincy Jordan is a 26-year-old female Logistics Coordinator who is adventurous, level-headed and trustworthy, and has interests of meeting new people, playing musical instruments and teaching.",0.0109494,female,26,Logistics Coordinator,adventurous;level-headed;trustworthy,meeting new people;playing musical instruments;teaching,black,postgraduate,high
165,Danica Hamilton,"Danica Hamilton is a 57-year-old male Restaurant Manager who is friendly, broad-minded and volatile, and has interests of joining social causes, designing and crafts.",0.2265083,male,57,Restaurant Manager,friendly;broad-minded;volatile,joining social causes;designing;crafts,other,postgraduate,low
166,Lennox Coleman,"Lennox Coleman is a 23-year-old female Cybersecurity Analyst who is versatile, reclusive and argumentative, and has interests of exploring music genres, journaling and writing opinion pieces.",0.0377209,female,23,Cybersecurity Analyst,versatile;reclusive;argumentative,exploring music genres;journaling;writing opinion pieces,hispanic,high school,low
167,Zara Diaz,"Zara Diaz is a 38-year-old female Criminal Investigator who is trustworthy, anxious and reflective, and has interests of empowering others, making vision boards and reading.",-0.439832,female,38,Criminal Investigator,trustworthy;anxious;reflective,empowering others;making vision boards;reading,other,postgraduate,low
168,Layla Harvey,"Layla Harvey is a 34-year-old male Public Relations Specialist who is selfish, friendly and calm, and has interests of joining debate clubs, meeting new people and swimming.",-0.0591779,male,34,Public Relations Specialist,selfish;friendly;calm,joining debate clubs;meeting new people;swimming,hispanic,college,middle
169,Kade Nichols,"Kade Nichols is a 42-year-old male Hotel Manager who is open-minded, calm and friendly, and has interests of new technology, playing musical instruments and cooking.",-0.2415489,male,42,Hotel Manager,open-minded;calm;friendly,new technology;playing musical instruments;cooking,black,high school,low
170,Bella May,"Bella May is a 24-year-old female Physician Assistant who is resilient, reliable and inhibited, and has interests of reading, implementing systems and playing single-player games.",-0.1950164,female,24,Physician Assistant,resilient;reliable;inhibited,reading;implementing systems;playing single-player games,white,high school,middle
171,Zara Gomez,"Zara Gomez is a 47-year-old male Social Media Manager who is composed, methodical and shy, and has interests of playing musical instruments, organizing and birdwatching.",0.0318915,male,47,Social Media Manager,composed;methodical;shy,playing musical instruments;organizing;birdwatching,other,high school,high
172,Charles Henderson,"Charles Henderson is a 30-year-old male Cloud Engineer who is calm, sociable and understanding, and has interests of stargazing, attending concerts and helping others.",0.136844,male,30,Cloud Engineer,calm;sociable;understanding,stargazing;attending concerts;helping others,asian,postgraduate,middle
173,Brooklyn Gilbert,"Brooklyn Gilbert is a 26-year-old female Project Manager who is apathetic, punctual and sociable, and has interests of antiques, budgeting and volunteering.",-0.1520504,female,26,Project Manager,apathetic;punctual;sociable,antiques;budgeting;volunteering,asian,high school,low
174,Callie Sullivan,"Callie Sullivan is a 35-year-old male IT Support Specialist who is taciturn, curious and unmotivated, and has interests of writing, exploring music genres and trying random hobbies.",0.0909446,male,35,IT Support Specialist,taciturn;curious;unmotivated,writing;exploring music genres;trying random hobbies,hispanic,postgraduate,high
175,Malik Bell,"Malik Bell is a 54-year-old female Dispatcher who is cooperative, assertive and detail-oriented, and has interests of mentoring, participating in group activities and learning new skills.",0.145711,female,54,Dispatcher,cooperative;assertive;detail-oriented,mentoring;participating in group activities;learning new skills,white,college,high
176,Eli Fuller,"Eli Fuller is a 62-year-old male Marine Biologist who is sociable, stubborn and level-headed, and has interests of socializing, creating satirical content and fishing.",-0.4368105,male,62,Marine Biologist,sociable;stubborn;level-headed,socializing;creating satirical content;fishing,black,high school,low
177,Abigail Davidson,"Abigail Davidson is a 37-year-old female Education Policy Analyst who is anxious, trustworthy and reflective, and has interests of crafts, helping others and writing.",-0.1386548,female,37,Education Policy Analyst,anxious;trustworthy;reflective,crafts;helping others;writing,other,postgraduate,middle
178,Kinsley Austin,"Kinsley Austin is a 31-year-old male Criminal Investigator who is neurotic, original and kind, and has interests of blogging about feelings, inventing and counseling.",0.3665966,male,31,Criminal Investigator,neurotic;original;kind,blogging about feelings;inventing;counseling,hispanic,college,high
179,Henry Mendoza,"Henry Mendoza is a 59-year-old male Sculptor who is responsible, rude and inhibited, and has interests of following routines, solo sports and journaling.",-0.2472145,male,59,Sculptor,responsible;rude;inhibited,following routines;solo sports;journaling,other,college,high
180,Kyle Dawson,"Kyle Dawson is a 47-year-old female Human Resources Manager who is calm, shy and trustworthy, and has interests of birdwatching, reading and advocating for others.",-0.1187327,female,47,Human Resources Manager,calm;shy;trustworthy,birdwatching;reading;advocating for others,black,college,low
181,Charles Moore,"Charles Moore is a 37-year-old male Network Engineer who is broad-minded, balanced and adventurous, and has interests of new languages, nature walks and socializing.",-0.5492617,male,37,Network Engineer,broad-minded;balanced;adventurous,new languages;nature walks;socializing,other,college,low
182,Cora Fernandez,"Cora Fernandez is a 28-year-old female Bartender who is apathetic, unflappable and negligent, and has interests of reading classic literature, photography and going to arcades.",-0.08345,female,28,Bartender,apathetic;unflappable;negligent,reading classic literature;photography;going to arcades,white,postgraduate,middle
183,Eli Fields,"Eli Fields is a 44-year-old female Air Traffic Controller who is insecure, intolerant and prejudiced, and has interests of poetry, researching controversial issues and joining cultural clubs.",0.1102851,female,44,Air Traffic Controller,insecure;intolerant;prejudiced,poetry;researching controversial issues;joining cultural clubs,hispanic,postgraduate,middle
184,Micah Bowman,"Micah Bowman is a 46-year-old female Biologist who is traditional, sociable and anxious, and has interests of folk music, socializing and crafts.",0.2725595,female,46,Biologist,traditional;sociable;anxious,folk music;socializing;crafts,asian,postgraduate,high
185,Jade Jimenez,"Jade Jimenez is a 34-year-old female Journalist who is level-headed, empathetic and rigid, and has interests of meditation, joining social causes and antiques.",-0.1448325,female,34,Journalist,level-headed;empathetic;rigid,meditation;joining social causes;antiques,hispanic,college,high
186,Ella Brooks,"Ella Brooks is a 30-year-old female Hotel Manager who is unreliable, narrow-minded and trustworthy, and has interests of freestyling in music, visiting historical landmarks and fundraising.",0.313633,female,30,Hotel Manager,unreliable;narrow-minded;trustworthy,freestyling in music;visiting historical landmarks;fundraising,black,college,high
187,Alina Wagner,"Alina Wagner is a 30-year-old male Delivery Driver who is methodical, insecure and talkative, and has interests of creating schedules, taking personality quizzes and joining clubs.",0.299157,male,30,Delivery Driver,methodical;insecure;talkative,creating schedules;taking personality quizzes;joining clubs,hispanic,postgraduate,middle
188,William Coleman,"William Coleman is a 55-year-old male Housekeeping Supervisor who is generous, narrow-minded and unassertive, and has interests of counseling, writing letters and meditating.",-0.0863478,male,55,Housekeeping Supervisor,generous;narrow-minded;unassertive,counseling;writing letters;meditating,black,postgraduate,high
189,Malik Frazier,"Malik Frazier is a 21-year-old male Education Policy Analyst who is volatile, versatile and unmotivated, and has interests of making vision boards, creating art and visiting amusement parks.",0.3147461,male,21,Education Policy Analyst,volatile;versatile;unmotivated,making vision boards;creating art;visiting amusement parks,hispanic,college,low
190,Eliza Santiago,"Eliza Santiago is a 49-year-old female Broadcast Journalist who is insecure, sociable and apathetic, and has interests of creating mood boards, shopping and antiques.",0.139026,female,49,Broadcast Journalist,insecure;sociable;apathetic,creating mood boards;shopping;antiques,hispanic,college,middle
191,Hadley Acosta,"Hadley Acosta is a 46-year-old male System Administrator who is moody, reflective and considerate, and has interests of journaling emotions, stargazing and collaborating on projects.",0.1612049,male,46,System Administrator,moody;reflective;considerate,journaling emotions;stargazing;collaborating on projects,white,postgraduate,high
192,Aurora Stone,"Aurora Stone is a 68-year-old male Rail Operator who is adventurous, detail-oriented and considerate, and has interests of participating in hackathons, completing tasks and joining social causes.",0.1724678,male,68,Rail Operator,adventurous;detail-oriented;considerate,participating in hackathons;completing tasks;joining social causes,white,college,high
193,Clara Owens,"Clara Owens is a 73-year-old male Transportation Planner who is unimaginative, empathetic and enthusiastic, and has interests of learning calligraphy, teaching and exploring new places.",0.221292,male,73,Transportation Planner,unimaginative;empathetic;enthusiastic,learning calligraphy;teaching;exploring new places,white,postgraduate,middle
194,Claire Herrera,"Claire Herrera is a 59-year-old female Community Liaison Officer who is reliable, rude and broad-minded, and has interests of improving efficiency, competitive sports and new languages.",0.369243,female,59,Community Liaison Officer,reliable;rude;broad-minded,improving efficiency;competitive sports;new languages,asian,college,middle
195,Zander Morales,"Zander Morales is a 25-year-old female Curator who is shy, unreliable and trustworthy, and has interests of watching movies, attending spontaneous events and advocating for others.",0.1443355,female,25,Curator,shy;unreliable;trustworthy,watching movies;attending spontaneous events;advocating for others,hispanic,postgraduate,low
196,Tobias Willis,"Tobias Willis is a 54-year-old male Communications Director who is withdrawn, unpredictable and considerate, and has interests of practicing instruments, taking personality quizzes and fundraising.",0.1108322,male,54,Communications Director,withdrawn;unpredictable;considerate,practicing instruments;taking personality quizzes;fundraising,black,high school,middle
197,Carter Robertson,"Carter Robertson is a 33-year-old female Web Developer who is adventurous, intolerant and shy, and has interests of experimenting, joining debate clubs and researching topics.",-0.0113038,female,33,Web Developer,adventurous;intolerant;shy,experimenting;joining debate clubs;researching topics,black,postgraduate,low
198,Cambria Adams,"Cambria Adams is a 43-year-old male Biologist who is assertive, reactive and argumentative, and has interests of shopping, poetry and studying negotiation techniques.",0.8907561,male,43,Biologist,assertive;reactive;argumentative,shopping;poetry;studying negotiation techniques,other,postgraduate,low
199,Dylan Gomez,"Dylan Gomez is a 23-year-old female Criminal Investigator who is unassertive, irresponsible and friendly, and has interests of meditating, binge-watching series and counseling.",0.092838,female,23,Criminal Investigator,unassertive;irresponsible;friendly,meditating;binge-watching series;counseling,white,high school,high
200,Everett Garza,"Everett Garza is a 72-year-old male Sculptor who is anxious, reserved and cooperative, and has interests of watching motivational talks, solving puzzles and supporting charities.",0.5192894,male,72,Sculptor,anxious;reserved;cooperative,watching motivational talks;solving puzzles;supporting charities,hispanic,college,middle
201,Kyle Ellis,"Kyle Ellis is a 24-year-old male Speechwriter who is rigid, negligent and balanced, and has interests of gardening heirloom plants, casual games and cooking.",0.3772755,male,24,Speechwriter,rigid;negligent;balanced,gardening heirloom plants;casual games;cooking,white,postgraduate,high
202,Trenton Richardson,"Trenton Richardson is a 41-year-old female Librarian who is generous, procrastinating and resilient, and has interests of organizing events, impulse shopping and yoga.",0.2720159,female,41,Librarian,generous;procrastinating;resilient,organizing events;impulse shopping;yoga,other,postgraduate,middle
203,Jade Myers,"Jade Myers is a 25-year-old female Educational Administrator who is versatile, thorough and calm, and has interests of participating in hackathons, time management and watching movies.",0.3726556,female,25,Educational Administrator,versatile;thorough;calm,participating in hackathons;time management;watching movies,asian,college,low
204,Aaron Knight,"Aaron Knight is a 31-year-old male Project Manager who is outgoing, disorganized and balanced, and has interests of going to parties, trying street food and gardening.",-0.4413414,male,31,Project Manager,outgoing;disorganized;balanced,going to parties;trying street food;gardening,hispanic,high school,high
205,Felix Harrison,"Felix Harrison is a 28-year-old female Physician Assistant who is warm, resistant and shy, and has interests of spreading kindness, traditions and meditating.",-0.0273997,female,28,Physician Assistant,warm;resistant;shy,spreading kindness;traditions;meditating,asian,college,low
206,Ashton Reed,"Ashton Reed is a 19-year-old male Fleet Manager who is relaxed, rude and taciturn, and has interests of nature walks, courtroom dramas and solving puzzles.",-0.1735462,male,19,Fleet Manager,relaxed;rude;taciturn,nature walks;courtroom dramas;solving puzzles,black,college,low
207,Liana Harding,"Liana Harding is a 42-year-old male Librarian who is lively, methodical and resistant, and has interests of hosting events, creating schedules and folk music.",-0.4675332,male,42,Librarian,lively;methodical;resistant,hosting events;creating schedules;folk music,black,postgraduate,low
208,Callie Stevens,"Callie Stevens is a 35-year-old male Dental Hygienist who is forgetful, sociable and friendly, and has interests of attending spontaneous events, joining clubs and attending community meetings.",0.2006833,male,35,Dental Hygienist,forgetful;sociable;friendly,attending spontaneous events;joining clubs;attending community meetings,asian,postgraduate,high
209,Amira Watts,"Amira Watts is a 46-year-old female Project Manager who is talkative, traditional and insecure, and has interests of cooking, attending local fairs and creating mood boards.",-0.1358229,female,46,Project Manager,talkative;traditional;insecure,cooking;attending local fairs;creating mood boards,hispanic,high school,high
210,Henry Harvey,"Henry Harvey is a 74-year-old male Research Scientist who is punctual, curious and selfish, and has interests of creating schedules, different philosophies and writing opinion pieces.",0.2580719,male,74,Research Scientist,punctual;curious;selfish,creating schedules;different philosophies;writing opinion pieces,asian,postgraduate,high
211,Iris Fox,"Iris Fox is a 44-year-old female Rail Operator who is moody, apathetic and kind, and has interests of making vision boards, reading classic literature and spreading kindness.",-0.2072227,female,44,Rail Operator,moody;apathetic;kind,making vision boards;reading classic literature;spreading kindness,white,high school,middle
212,Andrew Baker,"Andrew Baker is a 33-year-old male Crime Scene Technician who is friendly, unflappable and open-minded, and has interests of counseling, stargazing and visiting museums.",-0.1256288,male,33,Crime Scene Technician,friendly;unflappable;open-minded,counseling;stargazing;visiting museums,hispanic,high school,high
213,Arthur Johnson,"Arthur Johnson is a 39-year-old male Business Analyst who is relaxed, unreliable and kind, and has interests of stargazing, daydreaming and volunteering.",-0.7173569,male,39,Business Analyst,relaxed;unreliable;kind,stargazing;daydreaming;volunteering,hispanic,postgraduate,high
214,Rowan Burns,"Rowan Burns is a 34-year-old female Librarian who is unimaginative, impulsive and procrastinating, and has interests of joining cultural clubs, poetry and watching reality shows.",0.3169413,female,34,Librarian,unimaginative;impulsive;procrastinating,joining cultural clubs;poetry;watching reality shows,other,college,high
215,Jaxon Hopkins,"Jaxon Hopkins is a 32-year-old male Instructional Designer who is unconventional, relaxed and sociable, and has interests of inventing, knitting and shopping.",0.1289132,male,32,Instructional Designer,unconventional;relaxed;sociable,inventing;knitting;shopping,black,college,low
216,Everett Cox,"Everett Cox is a 58-year-old male Criminal Investigator who is confident, warm and rigid, and has interests of attending festivals, teaching and gardening heirloom plants.",-0.3448596,male,58,Criminal Investigator,confident;warm;rigid,attending festivals;teaching;gardening heirloom plants,white,postgraduate,high
217,Kingston Riley,"Kingston Riley is a 34-year-old male Airline Pilot who is selfish, reactive and energetic, and has interests of engaging in intellectual discussions, keeping a dream journal and going to parties.",0.2933032,male,34,Airline Pilot,selfish;reactive;energetic,engaging in intellectual discussions;keeping a dream journal;going to parties,hispanic,high school,low
218,Amara Graham,"Amara Graham is a 26-year-old male Physicist who is reflective, moody and curious, and has interests of gardening, aromatherapy and new technology.",-0.3221682,male,26,Physicist,reflective;moody;curious,gardening;aromatherapy;new technology,white,college,high
219,Ophelia Jenkins,"Ophelia Jenkins is a 41-year-old female Entrepreneur who is lively, forgetful and versatile, and has interests of attending festivals, attending spontaneous events and participating in hackathons.",0.2432834,female,41,Entrepreneur,lively;forgetful;versatile,attending festivals;attending spontaneous events;participating in hackathons,black,postgraduate,high
220,Eden Cruz,"Eden Cruz is a 25-year-old male Data Scientist who is inflexible, solitary and trustworthy, and has interests of learning family crafts, walking alone and volunteering.",0.0479165,male,25,Data Scientist,inflexible;solitary;trustworthy,learning family crafts;walking alone;volunteering,white,college,high
221,Leo Walters,"Leo Walters is a 74-year-old male Software Developer who is sociable, unmotivated and anxious, and has interests of joining clubs, freestyling in music and creating mood boards.",-0.7020673,male,74,Software Developer,sociable;unmotivated;anxious,joining clubs;freestyling in music;creating mood boards,black,postgraduate,middle
222,Callan Baker,"Callan Baker is a 20-year-old female Communications Director who is level-headed, traditional and disorganized, and has interests of swimming, visiting historical landmarks and procrastinating projects.",-0.1638613,female,20,Communications Director,level-headed;traditional;disorganized,swimming;visiting historical landmarks;procrastinating projects,other,college,high
223,Eden King,"Eden King is a 47-year-old female Tour Guide who is confident, friendly and inflexible, and has interests of networking, mediating conflicts and writing letters.",0.1893977,female,47,Tour Guide,confident;friendly;inflexible,networking;mediating conflicts;writing letters,black,high school,middle
224,Iris Douglas,"Iris Douglas is a 35-year-old female Fleet Manager who is quiet, careless and resilient, and has interests of watching movies, exploring memes and knitting.",0.1615992,female,35,Fleet Manager,quiet;careless;resilient,watching movies;exploring memes;knitting,black,postgraduate,low
225,Lily Spencer,"Lily Spencer is a 29-year-old female Consultant who is friendly, considerate and unimaginative, and has interests of exploring new places, empowering others and learning family crafts.",0.3497107,female,29,Consultant,friendly;considerate;unimaginative,exploring new places;empowering others;learning family crafts,asian,college,low
226,Hattie Hunt,"Hattie Hunt is a 24-year-old male Occupational Therapist who is energetic, adventurous and unmotivated, and has interests of meeting new people, inventing and going to arcades.",0.2195609,male,24,Occupational Therapist,energetic;adventurous;unmotivated,meeting new people;inventing;going to arcades,white,high school,middle
227,Poppy Cole,"Poppy Cole is a 20-year-old female Sculptor who is thorough, traditional and moody, and has interests of documenting progress, classic movies and crafts.",0.3393781,female,20,Sculptor,thorough;traditional;moody,documenting progress;classic movies;crafts,black,college,middle
228,Rhys Holland,"Rhys Holland is a 33-year-old male Public Relations Specialist who is negligent, resistant and argumentative, and has interests of comedy shows, reading classic literature and dissecting movies and books.",-0.1811916,male,33,Public Relations Specialist,negligent;resistant;argumentative,comedy shows;reading classic literature;dissecting movies and books,black,college,low
229,Delaney Douglas,"Delaney Douglas is a 37-year-old female Marine Biologist who is sociable, detail-oriented and sensitive, and has interests of playing team sports, studying and watching motivational talks.",-0.4221568,female,37,Marine Biologist,sociable;detail-oriented;sensitive,playing team sports;studying;watching motivational talks,hispanic,postgraduate,high
230,Novah Smith,"Novah Smith is a 22-year-old male Travel Agent who is reactive, irresponsible and selfish, and has interests of movies, trying random hobbies and writing opinion pieces.",-0.0932994,male,22,Travel Agent,reactive;irresponsible;selfish,movies;trying random hobbies;writing opinion pieces,white,high school,middle
231,Everett Jensen,"Everett Jensen is a 54-year-old female Environmental Scientist who is cooperative, neurotic and quiet, and has interests of supporting charities, abstract art and watching movies.",-0.4035902,female,54,Environmental Scientist,cooperative;neurotic;quiet,supporting charities;abstract art;watching movies,white,college,middle
232,Quentin Wilson,"Quentin Wilson is a 74-year-old male Lab Technician who is resilient, warm and innovative, and has interests of listening to music, mentoring and exploring music genres.",0.3223813,male,74,Lab Technician,resilient;warm;innovative,listening to music;mentoring;exploring music genres,white,high school,middle
233,Kyle Bell,"Kyle Bell is a 45-year-old male IT Support Specialist who is irritable, reliable and sociable, and has interests of movies, maintaining cleanliness and socializing.",-0.2392663,male,45,IT Support Specialist,irritable;reliable;sociable,movies;maintaining cleanliness;socializing,black,college,low
234,Stetson Lucas,"Stetson Lucas is a 32-year-old female Front Desk Associate who is level-headed, shy and unconventional, and has interests of playing musical instruments, learning languages and debates.",-0.0186855,female,32,Front Desk Associate,level-headed;shy;unconventional,playing musical instruments;learning languages;debates,other,high school,low
235,Cassian McKinney,"Cassian McKinney is a 62-year-old male Musician who is careless, understanding and enthusiastic, and has interests of procrastinating projects, promoting positivity and hiking.",-0.097427,male,62,Musician,careless;understanding;enthusiastic,procrastinating projects;promoting positivity;hiking,hispanic,high school,middle
236,Kellan Ramos,"Kellan Ramos is a 39-year-old female Database Administrator who is organized, innovative and unsympathetic, and has interests of creating schedules, virtual reality and building arguments.",-0.0838935,female,39,Database Administrator,organized;innovative;unsympathetic,creating schedules;virtual reality;building arguments,other,college,middle
237,Everett Franklin,"Everett Franklin is a 34-year-old female Biologist who is responsible, neurotic and compassionate, and has interests of setting priorities, keeping a dream journal and helping others.",0.2108864,female,34,Biologist,responsible;neurotic;compassionate,setting priorities;keeping a dream journal;helping others,white,college,low
238,Quincy Sutton,"Quincy Sutton is a 42-year-old male Librarian who is open-minded, reliable and lively, and has interests of new cultures, researching and socializing.",-0.4021626,male,42,Librarian,open-minded;reliable;lively,new cultures;researching;socializing,black,high school,middle
239,Simone Castillo,"Simone Castillo is a 29-year-old male Social Media Manager who is warm, dogmatic and enthusiastic, and has interests of encouraging teamwork, folk music and hosting events.",-0.5828902,male,29,Social Media Manager,warm;dogmatic;enthusiastic,encouraging teamwork;folk music;hosting events,other,high school,low
240,Autumn Hicks,"Autumn Hicks is a 45-year-old female Lab Technician who is moody, organized and dogmatic, and has interests of attending support groups, tracking progress and traditions.",-0.0101519,female,45,Lab Technician,moody;organized;dogmatic,attending support groups;tracking progress;traditions,asian,high school,middle
241,Jalen Newman,"Jalen Newman is a 62-year-old female Air Traffic Controller who is withdrawn, calm and indifferent, and has interests of reading, reading and exploring memes.",0.3481227,female,62,Air Traffic Controller,withdrawn;calm;indifferent,reading;reading;exploring memes,asian,high school,low
242,Tessa Collins,"Tessa Collins is a 38-year-old male Logistics Coordinator who is understanding, sociable and forgetful, and has interests of teaching, hosting events and visiting amusement parks.",0.2234993,male,38,Logistics Coordinator,understanding;sociable;forgetful,teaching;hosting events;visiting amusement parks,other,college,low
243,Calliope Campbell,"Calliope Campbell is a 42-year-old female Travel Agent who is solitary, negligent and inflexible, and has interests of learning languages, watching reality shows and watching documentaries.",-0.2038942,female,42,Travel Agent,solitary;negligent;inflexible,learning languages;watching reality shows;watching documentaries,black,college,low
244,Aria Black,"Aria Black is a 24-year-old female Physician Assistant who is reactive, energetic and detail-oriented, and has interests of adrenaline sports, cooking and improving efficiency.",-0.3392294,female,24,Physician Assistant,reactive;energetic;detail-oriented,adrenaline sports;cooking;improving efficiency,hispanic,high school,high
245,Ximena Horton,"Ximena Horton is a 51-year-old male Project Manager who is dogmatic, composed and energetic, and has interests of visiting historical landmarks, cooking and traveling.",0.048955,male,51,Project Manager,dogmatic;composed;energetic,visiting historical landmarks;cooking;traveling,white,postgraduate,high
246,Gabriel Santiago,"Gabriel Santiago is a 38-year-old male Biologist who is hostile, taciturn and relaxed, and has interests of analyzing political ideologies, solving puzzles and swimming.",-0.3750116,male,38,Biologist,hostile;taciturn;relaxed,analyzing political ideologies;solving puzzles;swimming,white,college,low
247,Niko Barnett,"Niko Barnett is a 27-year-old male Detective who is secure, withdrawn and imaginative, and has interests of fishing, reading and new languages.",0.1924249,male,27,Detective,secure;withdrawn;imaginative,fishing;reading;new languages,other,college,middle
248,Autumn Wallace,"Autumn Wallace is a 28-year-old male Astronomer who is taciturn, adventurous and irresponsible, and has interests of solving puzzles, new languages and exploring memes.",0.2252994,male,28,Astronomer,taciturn;adventurous;irresponsible,solving puzzles;new languages;exploring memes,black,college,high
249,Hugo Jones,"Hugo Jones is a 26-year-old female Entrepreneur who is secure, indifferent and enthusiastic, and has interests of stargazing, binge-watching series and hosting events.",-0.1994382,female,26,Entrepreneur,secure;indifferent;enthusiastic,stargazing;binge-watching series;hosting events,other,high school,high
250,Hadley Williams,"Hadley Williams is a 27-year-old female Concierge who is unpredictable, energetic and conventional, and has interests of creating mood boards, partying and attending religious gatherings.",-0.1611403,female,27,Concierge,unpredictable;energetic;conventional,creating mood boards;partying;attending religious gatherings,hispanic,college,middle
251,Hugo Clark,"Hugo Clark is a 19-year-old male Writer who is conventional, unpredictable and negligent, and has interests of volunteering in heritage preservation, video games and going to arcades.",-0.4204748,male,19,Writer,conventional;unpredictable;negligent,volunteering in heritage preservation;video games;going to arcades,black,college,low
252,Micah Horton,"Micah Horton is a 40-year-old female Sales Executive who is steady, innovative and stubborn, and has interests of knitting, visiting museums and studying negotiation techniques.",-0.0516569,female,40,Sales Executive,steady;innovative;stubborn,knitting;visiting museums;studying negotiation techniques,white,college,high
253,Weston Vargas,"Weston Vargas is a 22-year-old male Detective who is reflective, considerate and open-minded, and has interests of meditating, mediating conflicts and writing.",-0.0622254,male,22,Detective,reflective;considerate;open-minded,meditating;mediating conflicts;writing,asian,college,middle
254,Bentley Peterson,"Bentley Peterson is a 18-year-old female Content Writer who is negligent, imaginative and resilient, and has interests of exploring memes, debates and gardening.",0.3053414,female,18,Content Writer,negligent;imaginative;resilient,exploring memes;debates;gardening,hispanic,high school,middle
255,Zander Graham,"Zander Graham is a 45-year-old male Security Consultant who is considerate, reliable and inflexible, and has interests of organizing events, studying and antiques.",-0.2069692,male,45,Security Consultant,considerate;reliable;inflexible,organizing events;studying;antiques,white,high school,low
256,Joseph Sanchez,"Joseph Sanchez is a 60-year-old female Pharmacist who is talkative, neurotic and hostile, and has interests of hiking, doing intense workouts and writing opinion pieces.",-0.0358458,female,60,Pharmacist,talkative;neurotic;hostile,hiking;doing intense workouts;writing opinion pieces,black,high school,middle
257,Ruby Gutierrez,"Ruby Gutierrez is a 45-year-old male Dental Hygienist who is quiet, indifferent and unsympathetic, and has interests of drawing, procrastinating projects and building arguments.",0.4418359,male,45,Dental Hygienist,quiet;indifferent;unsympathetic,drawing;procrastinating projects;building arguments,asian,postgraduate,low
258,Mila Evans,"Mila Evans is a 21-year-old female Forensic Analyst who is insecure, understanding and unimaginative, and has interests of drama, counseling and joining cultural clubs.",0.4060781,female,21,Forensic Analyst,insecure;understanding;unimaginative,drama;counseling;joining cultural clubs,black,high school,low
259,Jasper Hawkins,"Jasper Hawkins is a 26-year-old female Consultant who is resistant, enthusiastic and intolerant, and has interests of traditions, playing team sports and debating topics.",-0.0293838,female,26,Consultant,resistant;enthusiastic;intolerant,traditions;playing team sports;debating topics,white,postgraduate,high
260,Paul Johnson,"Paul Johnson is a 44-year-old male Instructional Designer who is energetic, responsible and moody, and has interests of hiking, goal setting and creating mood boards.",0.7535807,male,44,Instructional Designer,energetic;responsible;moody,hiking;goal setting;creating mood boards,asian,high school,high
261,Jeremiah Warren,"Jeremiah Warren is a 51-year-old male Journalist who is sensitive, conventional and punctual, and has interests of aromatherapy, writing letters and researching.",0.3258059,male,51,Journalist,sensitive;conventional;punctual,aromatherapy;writing letters;researching,black,high school,low
262,Cora McKinney,"Cora McKinney is a 55-year-old male Dental Hygienist who is friendly, level-headed and uncooperative, and has interests of shopping, painting and chess strategies.",0.0071501,male,55,Dental Hygienist,friendly;level-headed;uncooperative,shopping;painting;chess strategies,white,postgraduate,low
263,Mira Oliver,"Mira Oliver is a 35-year-old female Writer who is adventurous, warm and curious, and has interests of shopping, organizing events and new technology.",-0.3567565,female,35,Writer,adventurous;warm;curious,shopping;organizing events;new technology,black,college,high
264,Marley Washington,"Marley Washington is a 24-year-old male Nurse who is procrastinating, selfish and traditional, and has interests of casual games, courtroom dramas and joining cultural clubs.",0.3504032,male,24,Nurse,procrastinating;selfish;traditional,casual games;courtroom dramas;joining cultural clubs,other,college,low
265,Paul Chambers,"Paul Chambers is a 53-year-old male Logistics Coordinator who is unconventional, hostile and thorough, and has interests of participating in hackathons, competitive sports and following routines.",0.3242159,male,53,Logistics Coordinator,unconventional;hostile;thorough,participating in hackathons;competitive sports;following routines,black,college,high
266,Andrew Scott,"Andrew Scott is a 26-year-old male School Counselor who is uncooperative, indifferent and unpredictable, and has interests of writing critiques, binge-watching series and doing intense workouts.",0.1530878,male,26,School Counselor,uncooperative;indifferent;unpredictable,writing critiques;binge-watching series;doing intense workouts,hispanic,college,high
267,Finn Williamson,"Finn Williamson is a 21-year-old male Concierge who is efficient, calm and generous, and has interests of goal setting, fishing and teaching.",0.1270047,male,21,Concierge,efficient;calm;generous,goal setting;fishing;teaching,hispanic,high school,high
268,Finn Richards,"Finn Richards is a 28-year-old female Truck Driver who is unsympathetic, unflappable and reclusive, and has interests of joining debate clubs, yoga and journaling.",0.3196123,female,28,Truck Driver,unsympathetic;unflappable;reclusive,joining debate clubs;yoga;journaling,other,high school,middle
269,Gideon Alexander,"Gideon Alexander is a 29-year-old male Restaurant Manager who is inhibited, sensitive and considerate, and has interests of playing single-player games, making vision boards and advocating for others.",0.1388544,male,29,Restaurant Manager,inhibited;sensitive;considerate,playing single-player games;making vision boards;advocating for others,asian,high school,high
